Ecm_cutoff,K3iso0,K3iso0_err,K3iso1,K3iso1_err,K3B,K3B_err,K3E,K3E_err
0.315,229109.08255481743,372679103.99476475,-972421.14060757775,314679287.94938761,347174.05548116955,334353772.34994745,-1226756.7068845264,10954737009.701321
0.325,203654.78660989026,1.9999998807907211,-972421.14060757775,1.9999998807907189,347174.05548116955,1.9999998807907189,-1226756.7068845264,1.9999998807907191
0.335,69163.847351260105,1.9999998807907151,-1097463.7746150994,1.9999998807907151,347174.05548116943,1.9999998807907211,-1226756.7068845264,1.9999998807907189
