sector,label_file,label_sha256,columns,label_rows,true_count,false_count,blank_count,true_Ecm_min,true_Ecm_max,candidate_file,candidate_rows,package_rows,lattice_levels_to_0p36,count_match_to_0p36,status
000_A1m,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_user_truezero_labels_L20_000_A1m_E026310_0360.csv,4963c14211f12df1ce31a133a801dde4f1335e386c659360a8787c9db597a8ac,bracket_id|E_left|E_right|user_label|user_zero_estimate|comment,10,3,7,0,0.26932269955846955,0.35794609133611466,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/output/v33p_all_sector_classifier_validation/L20_000_A1m_E026310_0360/candidate_sign_change_brackets_E026310_0360.csv,10,3,2,False,REVIEW
100_A2,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_user_truezero_labels_L20_100_A2_E026301_0360.csv,64a1f05c4ab2c302565a246b9aecf7c74177ac7126e51639ae22247be78f30e3,bracket_id|E_left|E_right|user_label|user_zero_estimate|comment,25,2,23,0,0.29155609987916675,0.30044149754668775,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/output/v33p_classifier_restart_L20_100_A2_E026310_0360/candidate_sign_change_brackets_E026310_0360.csv,25,2,3,False,REVIEW
110_A2,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_110_A2.csv,6ed022d98e24778b836436b0f46334f155ede7d899ac12bb5de42b597caad56d,bracket_id|E_left|E_right|user_label|user_zero_estimate|comment,36,4,32,0,0.3067911009653987,0.3287180485505124,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/output/v33p_gpu_classifier_all_irrep/sectors/L20_110_A2/candidate_sign_change_brackets.csv,36,4,5,False,REVIEW
111_A2,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_111_A2.csv,8970f498ded626eb2804fc404784ff3ab423ea0faf2007b3234e26b922e245ed,bracket_id|E_left|E_right|user_label|user_zero_estimate|comment,30,5,25,0,0.3194218456477709,0.3501284288578908,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/output/v33p_gpu_classifier_all_irrep/sectors/L20_111_A2/candidate_sign_change_brackets.csv,30,5,5,True,PASS
200_A2,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_200_A2.csv,e74359d44b9833ad4dba96d717fd035c11b46ff10abce8078b7eb4c02d97341d,bracket_id|E_left|E_right|user_label|user_zero_estimate|comment,35,5,30,0,0.2862443472262731,0.35346329686416345,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/output/v33p_gpu_classifier_all_irrep/sectors/L20_200_A2/candidate_sign_change_brackets.csv,35,5,4,False,REVIEW
