Ecm_cutoff,Lbyas,irrep,input_file_path,file_exists,file_size_bytes,sha256,columns_detected,n_rows_read,status,audit_status
0.335,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,True,7170,96b2bae90a0f5461c5e9b00272c5c1d4c3678607b116545dee3521146e79e4b7,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n3.jack,True,7176,a74dbb4ee92668ca7a0820583278f55165a895815b4dc9d92e2d27ca4de92827,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,111_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n0.jack,True,7180,cb125baf92f15759c5b8342e6daeda880486a9f2c04144599f9d34aaa432e42a,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,111_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n1.jack,True,7176,f005faad2554716c0328a2152d575027d6f7c44320855f6e030a9b171332977e,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,200_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,True,7184,eacb212f617cf1a932e83910e8be92380090be0b832dc194029a85b38d4e3c32,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,200_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,True,7184,dab651927c0f39f94d5ed6cb7d156a1bb45e54b50300c5433d2711cc83675a12,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,200_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n2.jack,True,7174,9aa1d97a30992e8f9e88021b574fdc539978b77dee6dcf2b165e2c8384db9f80,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.335,20,000_A1m,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n1.jack,True,7178,d76d7c79be6cf59f80b8e7ebe6b62207984002f3c20afc6525330b828a02b9e5,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.335,20,100_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n2.jack,True,7182,d97fae74ed44847caf8919c139746175f2bff9107f90210af340c7e54d64d6f4,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.335,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n4.jack,True,7202,6ec6888010b20520abcdce38a30445efda743b18690fdc4eec308236d0923cfa,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
