Ecm_cutoff,n_levels,model_found,chi2,dof,chi2_dof,K3iso0,K3iso0_err,K3iso1,K3iso1_err,K3B,K3B_err,K3E,K3E_err,fcn_evals,runtime,avg_fcn_time,fallback/full_scan,converged,status
0.315,6,6/6,3.216121053961791e-05,2,1.6080605269808956e-05,229109.08255481743,372679103.99476475,-972421.14060757775,314679287.94938761,347174.05548116955,334353772.34994745,-1226756.7068845264,10954737009.701321,91,1.0084960719977971,0.0033110745824175823,0/0,True,PASS
0.325,9,9/9,9.93155870003628e-05,5,1.9863117400072559e-05,203654.78660989026,1.9999998807907211,-972421.14060757775,1.9999998807907189,347174.05548116955,1.9999998807907189,-1226756.7068845264,1.9999998807907191,175,1.976086436989135,0.006521931582857143,0/0,True,PASS
0.335,12,12/12,0.0001265527817944407,8,1.5819097724305087e-05,69163.847351260105,1.9999998807907151,-1097463.7746150994,1.9999998807907151,347174.05548116943,1.9999998807907211,-1226756.7068845264,1.9999998807907189,90,2.6938688100053696,0.020427496266666668,0/0,True,PASS
0.345,14,0/14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0/0,false,BLOCKED_PREFIT_COVERAGE
0.355,17,0/17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0/0,false,BLOCKED_PREFIT_COVERAGE
