Lbyas,irrep,lattice_level_index,lattice_Ecm,bracket_id,E_left_bracket,E_right_bracket,zero_estimate_initial,center_row,row_left,row_right,max_row_left,max_row_right,previous_model_zero,has_previous_model_zero,inside_Ecm_cutoff,source_label_file,source_label_row
20,110_A2,0,0.3073332928312637,11,3.06789549477473888e-01,3.06794394719735963e-01,0.30679110096539869,9018,8968,9068,8768,9268,0.30679110096539869,true,true,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_110_A2.csv,12
20,110_A2,1,0.31643789359657865,15,3.15825926296314785e-01,3.15830771538576915e-01,0.31583037429108624,10882,10832,10932,10632,11132,0.31583037429108624,true,true,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_110_A2.csv,16
20,110_A2,2,0.31813597720593845,17,3.19154607730386508e-01,3.19159452972648638e-01,0.31915497052908925,11570,11520,11620,11320,11820,0.31915497052908925,true,true,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_110_A2.csv,18
20,110_A2,3,0.3291548445548671,18,3.28714270713535650e-01,3.28719115955797780e-01,0.3287180485505124,13542,13492,13592,13292,13792,0.3287180485505124,true,true,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_gpu_user_truezero_labels_L20_110_A2.csv,19
