Lbyas,irrep,lattice_level_index,lattice_Ecm,bracket_id,E_left_bracket,E_right_bracket,zero_estimate_initial,center_row,row_left,row_right,max_row_left,max_row_right,previous_model_zero,has_previous_model_zero,inside_Ecm_cutoff,source_label_file,source_label_row
20,000_A1m,0,0.2692266019900497,1,2.69321291064553214e-01,2.69326136306815345e-01,0.26932269955846955,1284,1234,1334,1034,1534,0.26932269955846955,true,true,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_user_truezero_labels_L20_000_A1m_E026310_0360.csv,2
20,000_A1m,1,0.345606144278607,9,3.45381904095204750e-01,3.45386749337466881e-01,0.34538561384780109,16982,16932,17032,16732,17232,0.34538561384780109,true,false,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_user_truezero_labels_L20_000_A1m_E026310_0360.csv,10
20,000_A1m,2,,10,3.57945617280864048e-01,3.57950462523126123e-01,0.35794609133611466,19576,19526,19626,19326,19826,0.35794609133611466,true,false,/home/digonto/Codes/Practical_Lattice_v2/3body_quantization_v3/main_fitter/v33f_k3df_v33e_cache_classifier_v3_package/input/v33p_user_truezero_labels_L20_000_A1m_E026310_0360.csv,11
